AA,0001675149
AB,0000825313
AC,0001642122
AD,0000801622
AE,0000002178
AF,0000910322
AG,0001308648
AH,None
AI,0001209028
AJ,None
AK,None
AL,0001487712
AM,0001598968
AN,0000350698
AO,None
AP,0000006176
AQ,0001527635
AR,0001433270
AS,None
AT,0001419242
AU,0001067428
AV,0001140022
AW,0000848865
AX,0001107389
AY,None
AZ,None
BA,0000012927
BB,0001070235
BC,0000014930
BD,None
BE,None
BF,None
BG,0001144519
BH,0000093859
BI,None
BJ,0001037461
BK,0001390777
BL,0001666134
BM,None
BN,0000009801
BO,None
BP,0000313807
BQ,None
BR,0001383312
BS,None
BT,0000756620
BU,None
BV,0001330421
BW,0001630805
BX,0001393818
BY,0001702750
BZ,0001391390
CA,0000356028
CB,0000896159
CC,0001627223
CD,None
CE,0001306830
CF,0001324404
CG,0001527166
CH,None
CI,0000701221
CJ,0001615817
CK,None
CL,0000021665
CM,0001045520
CN,0001305755
CO,0001467808
CP,0000016875
CQ,None
CR,0000025445
CS,0001159510
CT,None
CU,None
CV,0000018808
CW,0000026324
CX,0001076378
CY,0000791915
CZ,None
DA,None
DB,None
DC,None
DD,0000030554
DE,0000315189
DF,0000931336
DG,0000029534
DH,None
DI,None
DJ,0000029924
DK,0001351541
DL,0001438644
DM,0001603286
DN,None
DO,0000949039
DP,0000702259
DQ,0001477641
DR,0001355795
DS,0001175483
DT,None
DU,None
DV,None
DW,None
DX,0000826675
DY,0000067215
DZ,None
EA,0000712515
EB,None
EC,0001444406
ED,0001047862
EE,0000031978
EF,0001071341
EG,None
EH,None
EI,None
EJ,0001405658
EK,None
EL,0001001250
EM,0001444598
EN,0001096200
EO,None
EP,None
EQ,0001350031
ER,None
ES,0000072741
ET,0001420850
EU,None
EV,0000350797
EW,0001099800
EX,None
EY,None
EZ,None
FA,None
FB,0001326801
FC,0000886206
FD,None
FE,0001031296
FF,0001337298
FG,None
FH,0001410428
FI,0001575828
FJ,None
FK,None
FL,0000850209
FM,None
FN,0001408710
FO,0000789073
FP,None
FQ,None
FR,0000921825
FS,0001030555
FT,0000833040
FU,None
FV,None
FW,None
FX,0001529979
FY,None
FZ,None
GA,0001415016
GB,None
GC,None
GD,0000040533
GE,0000040545
GF,None
GG,0000919239
GH,None
GI,0001623919
GJ,None
GK,0000039648
GL,None
GM,0001467858
GN,None
GO,None
GP,0000041077
GQ,None
GR,0000042542
GS,0000886982
GT,0000042582
GU,0001419723
GV,0000042316
GW,0000320186
GX,None
GY,None
GZ,None
HA,0001172222
HB,None
HC,0000909413
HD,0000354950
